iter	MultiClass
0	3.693423055
1	3.631541296
2	3.57790085
3	3.495558409
4	3.454033486
5	3.399183372
6	3.327421835
7	3.263894531
8	3.203055858
9	3.165286436
10	3.124887105
11	3.080028176
12	3.02212536
13	2.966365785
14	2.91445498
15	2.878306688
16	2.835998821
17	2.784591993
18	2.746186307
19	2.698036911
20	2.654746392
21	2.613994146
22	2.571787862
23	2.535470808
24	2.496380292
25	2.453585919
26	2.417194123
27	2.380884783
28	2.343624725
29	2.311047472
30	2.278277532
31	2.245961953
32	2.212561878
33	2.191430267
34	2.156692913
35	2.12218017
36	2.099855839
37	2.07410471
38	2.045916142
39	2.012231773
40	1.99088607
41	1.972632213
42	1.948404577
43	1.930170274
44	1.897157633
45	1.881380036
46	1.862865437
47	1.844513783
48	1.825382803
49	1.797999287
50	1.7766176
51	1.760595729
52	1.748688786
53	1.731623473
54	1.710664221
55	1.699094861
56	1.681760618
57	1.668295546
58	1.649502391
59	1.630488748
60	1.616982744
61	1.597747989
62	1.581009798
63	1.567145304
64	1.551227654
65	1.539094823
66	1.51777478
67	1.495768638
68	1.48392398
69	1.469952963
70	1.453003461
71	1.439547428
72	1.418919816
73	1.403972144
74	1.392557527
75	1.383686451
76	1.371188608
77	1.359125476
78	1.347601213
79	1.33668566
80	1.325606079
81	1.315997402
82	1.309085282
83	1.298382551
84	1.290492914
85	1.276289703
86	1.266449554
87	1.253310228
88	1.242876607
89	1.232152571
90	1.224925791
91	1.21800638
92	1.209594753
93	1.201103646
94	1.190588886
95	1.186124915
96	1.179955992
97	1.175083993
98	1.16575659
99	1.157213367
100	1.150812832
101	1.144976804
102	1.138581458
103	1.132120384
104	1.125868133
105	1.117496882
106	1.111907922
107	1.105817837
108	1.097603128
109	1.09133882
110	1.085109651
111	1.074340827
112	1.069576695
113	1.064850284
114	1.06032234
115	1.054946548
116	1.049887281
117	1.045281674
118	1.040240216
119	1.034998769
120	1.030054702
121	1.024885184
122	1.01896921
123	1.014893484
124	1.00887117
125	1.003783427
126	0.9985638423
127	0.9941188492
128	0.9889892039
129	0.9839201991
130	0.9782790081
131	0.9740878776
132	0.9699936629
133	0.9661469256
134	0.9632409466
135	0.9601039247
136	0.9569293972
137	0.9524153396
138	0.9487664978
139	0.9454891164
140	0.9402584416
141	0.9373432624
142	0.9340837211
143	0.9303802125
144	0.9271666236
145	0.9223490176
146	0.9172382816
147	0.9147734021
148	0.9113680173
149	0.9087072414
150	0.9036450197
151	0.9000446074
152	0.8952071045
153	0.8913120655
154	0.8866923391
155	0.8830396759
156	0.8797073824
157	0.8773430466
158	0.8740373245
159	0.8708431404
160	0.8670825958
161	0.8639492184
162	0.8616857652
163	0.8578488679
164	0.8541314031
165	0.851415576
166	0.8496431045
167	0.8453724308
168	0.8430054745
169	0.8407316881
170	0.8377532736
171	0.8336341813
172	0.8315601214
173	0.8295499112
174	0.8265727165
175	0.8236993235
176	0.8208818901
177	0.8170672776
178	0.8146187727
179	0.8122540704
180	0.8097140589
181	0.8073856375
182	0.8031367469
183	0.8013853128
184	0.7976845541
185	0.7952636207
186	0.7928484071
187	0.7897482043
188	0.7874280067
189	0.7854519588
190	0.7827475754
191	0.780434238
192	0.7787833082
193	0.7773648334
194	0.7746702146
195	0.7716450943
196	0.7701121518
197	0.7654210403
198	0.7629264331
199	0.760781846
200	0.7582645629
201	0.755544596
202	0.752549775
203	0.7500976925
204	0.747370372
205	0.7456087232
206	0.7441802615
207	0.7417684146
208	0.739912183
209	0.7379227638
210	0.7358136896
211	0.7340164729
212	0.7317348503
213	0.7297169848
214	0.7274790684
215	0.7257310431
216	0.7228237329
217	0.7210413482
218	0.7194203575
219	0.7180526806
220	0.7160129276
221	0.7136816994
222	0.711427703
223	0.7100656681
224	0.707595058
225	0.7056989676
226	0.7031640878
227	0.7010929578
228	0.6988202114
229	0.6974895397
230	0.6952764731
231	0.6939206631
232	0.6925856013
233	0.6897999098
234	0.6884522801
235	0.6858724867
236	0.6811476802
237	0.6791932522
238	0.6772137229
239	0.6748923879
240	0.6735958448
241	0.6720309654
242	0.6698517534
243	0.6684234533
244	0.6663611884
245	0.6649318746
246	0.6635332924
247	0.6613334928
248	0.6576841363
249	0.6560719791
250	0.6541304557
251	0.6526691644
252	0.6515190882
253	0.6502347742
254	0.6483943305
255	0.6466260201
256	0.6444340404
257	0.6426075705
258	0.6410906307
259	0.6385504446
260	0.6372205379
261	0.635154505
262	0.6337634669
263	0.6325183395
264	0.631000973
265	0.6293638944
266	0.6277884538
267	0.626376504
268	0.6250539637
269	0.6226451141
270	0.6214296597
271	0.6202769504
272	0.6189759444
273	0.6171919357
274	0.6156429119
275	0.6138456127
276	0.6116215688
277	0.6103785764
278	0.6072950615
279	0.605693971
280	0.6041372846
281	0.6029202485
282	0.6010441583
283	0.5995766052
284	0.5984172296
285	0.59669932
286	0.5947300765
287	0.5924102976
288	0.590704825
289	0.5892860428
290	0.5879009197
291	0.5860500562
292	0.5849585602
293	0.5838565475
294	0.5819868624
295	0.5802720141
296	0.578959473
297	0.5772149637
298	0.5756636382
299	0.5738043692
300	0.5718501022
301	0.5703499504
302	0.5688701224
303	0.5673086117
304	0.5651048033
305	0.5639453318
306	0.5625681706
307	0.5614516219
308	0.5593019472
309	0.5569422084
310	0.5558306657
311	0.554700937
312	0.5529034586
313	0.5518133799
314	0.5507096968
315	0.5490039007
316	0.5476049439
317	0.5464685777
318	0.5453149538
319	0.544130201
320	0.5426891704
321	0.5415634544
322	0.5401108117
323	0.5389639409
324	0.5361237135
325	0.5350578613
326	0.5331539364
327	0.5312208936
328	0.5301215815
329	0.5276450621
330	0.5265675358
331	0.5254888223
332	0.5242238624
333	0.5232117777
334	0.521196011
335	0.520107724
336	0.5191230326
337	0.5181268557
338	0.5170512009
339	0.5159738178
340	0.5149411133
341	0.5138770098
342	0.5126521472
343	0.5115405405
344	0.5105276517
345	0.5094842891
346	0.5084407401
347	0.5072013421
348	0.5061184617
349	0.5025299095
350	0.5016339692
351	0.5006584914
352	0.4994394546
353	0.4970909522
354	0.4951109567
355	0.4939158965
356	0.492878894
357	0.4919713924
358	0.4905236302
359	0.4892829478
360	0.4879984598
361	0.486432591
362	0.4846649851
363	0.4834659581
364	0.4825688558
365	0.4815460578
366	0.4806195383
367	0.4796109976
368	0.4784838947
369	0.4775756155
370	0.476598224
371	0.4756900732
372	0.4745930303
373	0.4730463282
374	0.4720711641
375	0.4710211292
376	0.4700089399
377	0.4690679275
378	0.4681662803
379	0.4666962664
380	0.465409094
381	0.4644632204
382	0.463548422
383	0.4621306935
384	0.4601004557
385	0.4586733694
386	0.4577660933
387	0.455079497
388	0.4542915448
389	0.4532393346
390	0.4523352865
391	0.4513602503
392	0.4503002532
393	0.4490755522
394	0.4470226847
395	0.4443430603
396	0.4435128499
397	0.4426686592
398	0.4417935763
399	0.4399714975
400	0.439137701
401	0.4382789577
402	0.4363364557
403	0.4348538663
404	0.431985022
405	0.4309138915
406	0.4301674736
407	0.429345859
408	0.4281122602
409	0.4266740371
410	0.4247703367
411	0.4235952634
412	0.4227569987
413	0.422018477
414	0.4211438439
415	0.4192542554
416	0.4170668085
417	0.4160225068
418	0.4146657844
419	0.413914839
420	0.4121521762
421	0.4110246046
422	0.410212059
423	0.4077210345
424	0.4064470142
425	0.4056135944
426	0.4048848222
427	0.4035386897
428	0.4026429056
429	0.4018586093
430	0.4003278303
431	0.398993347
432	0.3981909214
433	0.3974163348
434	0.3951366579
435	0.3940771617
436	0.3932736107
437	0.3920931629
438	0.390657902
439	0.3899305231
440	0.3890306191
441	0.3878681619
442	0.3870095737
443	0.3862371395
444	0.3855552337
445	0.3846535283
446	0.3832230619
447	0.3825151798
448	0.3814571862
449	0.3807612177
450	0.3797877831
451	0.3786151521
452	0.3762113494
453	0.3754391772
454	0.3746820013
455	0.3739467519
456	0.3728127544
457	0.3720511466
458	0.3707892144
459	0.37007486
460	0.3692763798
461	0.368511406
462	0.367718431
463	0.3669126772
464	0.3660338868
465	0.3653113965
466	0.3646400138
467	0.3639357197
468	0.3629568138
469	0.3622873855
470	0.3616872293
471	0.3607710111
472	0.359811478
473	0.3590147409
474	0.3583873701
475	0.3575094648
476	0.3569194013
477	0.356003276
478	0.3553775762
479	0.3546378759
480	0.3540469649
481	0.3532056856
482	0.3526632677
483	0.3517309622
484	0.3506184488
485	0.3490909091
486	0.3484637353
487	0.3475764232
488	0.3468115595
489	0.3457911362
490	0.3449337201
491	0.3443782833
492	0.342807751
493	0.3420773486
494	0.3400470207
495	0.3394591315
496	0.3374875802
497	0.3369291763
498	0.3357219306
499	0.335168803
500	0.3342151873
501	0.333565587
502	0.3323401805
503	0.3318046595
504	0.3310950004
505	0.3295309324
506	0.3282103623
507	0.3276643277
508	0.3269487541
509	0.3251229298
510	0.3245843373
511	0.3239372161
512	0.3232196972
513	0.3219824444
514	0.3213400192
515	0.3199174881
516	0.3191110818
517	0.3182899233
518	0.3178025763
519	0.3172759928
520	0.3160325473
521	0.3154429623
522	0.3146922631
523	0.3138461138
524	0.3131200123
525	0.3122024832
526	0.3116908434
527	0.3110077309
528	0.3103658065
529	0.3095613469
530	0.3087135933
531	0.3081325099
532	0.3073401572
533	0.3068763334
534	0.3063712556
535	0.3047035974
536	0.3031818117
537	0.3024405523
538	0.3018453108
539	0.3013916745
540	0.3005339035
541	0.2996184173
542	0.2991174681
543	0.2986496915
544	0.295877417
545	0.2949673942
546	0.2942696094
547	0.2934725581
548	0.2930559229
549	0.2922717549
550	0.291803052
551	0.2911890894
552	0.2907547816
553	0.2901370276
554	0.2893249327
555	0.2888795223
556	0.2881053189
557	0.2865513886
558	0.2854091197
559	0.2845563457
560	0.2839360458
561	0.2832435322
562	0.2827218407
563	0.2818693705
564	0.2814617705
565	0.2810398469
566	0.2804346451
567	0.2797425245
568	0.2791351923
569	0.2784474645
570	0.277750082
571	0.2771512987
572	0.2766553179
573	0.2759792339
574	0.2752659298
575	0.2748813319
576	0.2742935448
577	0.2734718634
578	0.2720527729
579	0.2714500758
580	0.2708095471
581	0.2698321188
582	0.2694397352
583	0.2687402232
584	0.2682476474
585	0.2677051589
586	0.2673082482
587	0.2668152751
588	0.2657170885
589	0.2650170992
590	0.264593152
591	0.2636590744
592	0.263105515
593	0.2625958421
594	0.262238291
595	0.2615154406
596	0.260772161
597	0.2602961957
598	0.2599324907
599	0.2595174458
600	0.2591415059
601	0.258582384
602	0.2580690568
603	0.2575097494
604	0.2571293045
605	0.2566436062
606	0.2559881491
607	0.2556307555
608	0.2547548754
609	0.2539485028
610	0.2533249336
611	0.2528164304
612	0.2524286298
613	0.2518871525
614	0.2514298776
615	0.251044116
616	0.2507072765
617	0.2492998929
618	0.2485452136
619	0.2480557201
620	0.2463521372
621	0.2460267437
622	0.2454398381
623	0.244908552
624	0.2445661897
625	0.2438023527
626	0.2433085012
627	0.2429913215
628	0.2417661401
629	0.2414421066
630	0.2405882726
631	0.2399986702
632	0.2394827599
633	0.2388022251
634	0.2379780999
635	0.237684763
636	0.23697559
637	0.2361345876
638	0.2358394123
639	0.2351136573
640	0.2345045987
641	0.2337861228
642	0.2332696125
643	0.2329811906
644	0.2324585891
645	0.232123244
646	0.2317835477
647	0.2309879898
648	0.2297992152
649	0.2294430068
650	0.2291740018
651	0.2277923155
652	0.2272353287
653	0.2269377957
654	0.2266360747
655	0.2261771659
656	0.2257092623
657	0.225219984
658	0.2248919215
659	0.224610033
660	0.2240784171
661	0.2235417634
662	0.223087084
663	0.2221597643
664	0.2218013457
665	0.2209089034
666	0.2196713433
667	0.2193147345
668	0.2189105804
669	0.2184304784
670	0.2177843632
671	0.2171718503
672	0.2169114825
673	0.2163288544
674	0.2159341182
675	0.2154439451
676	0.2146617272
677	0.2139174483
678	0.2135153796
679	0.2130717381
680	0.21260257
681	0.2120656101
682	0.2112295352
683	0.2107317772
684	0.2104012313
685	0.2099823416
686	0.2092439501
687	0.2085718473
688	0.2082324209
689	0.2076063841
